feature,importance
pm25_lag_1,51.61510340261936
hour_cos,11.420418187338257
hour_sin,9.128660486868617
pm25_lag_24,6.981877303958652
month_sin,3.431722586335241
total_generation_mw,2.871720901528174
month_cos,2.7182778066849167
temperature_2m (°C),2.5469793761635673
relative_humidity_2m (%),2.166865775777132
pollution_stagnation_index,1.5641385995201744
wind_speed_10m (km/h),1.5240007485873932
wind_y_vector,1.3451193407613824
wind_x_vector,1.2096732876608853
wind_direction_10m (°),0.8216016430724883
rain (mm),0.6538405531237682
