parameter,coefficient,abs_coefficient,pvalue
ar.L1,0.8814697673335483,0.8814697673335483,0.0
ar.S.L24,0.7980941811347265,0.7980941811347265,0.0
ma.S.L24,-0.5190282971767491,0.5190282971767491,3.454045579557628e-293
hour_sin,0.3071445223392962,0.3071445223392962,5.11210356090355e-114
ma.L1,-0.17160752965052184,0.17160752965052184,5.441235498141525e-78
hour_cos,0.1411380879626752,0.1411380879626752,1.7319862899226448e-19
temperature_2m (°C),0.09853642906072513,0.09853642906072513,0.011213966416630822
total_generation_mw,-0.03907100684123681,0.03907100684123681,0.20344526922988415
relative_humidity_2m (%),0.029393891655070364,0.029393891655070364,0.26831887208915417
wind_x_vector,-0.028717517703808648,0.028717517703808648,0.021305757502856553
pollution_stagnation_index,0.019667060756625943,0.019667060756625943,0.06200423727688532
wind_y_vector,-0.016143365756909507,0.016143365756909507,0.1116276977969699
rain (mm),0.002338268918119202,0.002338268918119202,0.6478940629023358
intercept,-0.0019890976863856185,0.0019890976863856185,0.33924146088208007
