feature,normal_mean,anomaly_mean,absolute_difference
rain (mm),-0.11748264468461059,2.2289068422108076,2.346389486895418
wind_speed_10m (km/h),-0.08589067855804139,1.6295370404206257,1.715427718978667
pollution_stagnation_index,0.05241362776605862,-0.9944029934504952,1.0468166212165537
wind_x_vector,0.03069401343259891,-0.5823336437351408,0.6130276571677398
month_cos,-0.027322769813232988,0.5183736606232825,0.5456964304365155
pm25,0.026688934762299603,-0.5063484011847341,0.5330373359470337
wind_y_vector,0.020489386632845084,-0.38872919639536696,0.40921858302821207
relative_humidity_2m (%),-0.017144727475216306,0.3252735795992444,0.3424183070744607
hour_cos,0.015075305520262178,-0.2860120463983075,0.3010873519185697
temperature_2m (°C),0.014999698605588167,-0.28457761521157476,0.2995773138171629
hour_sin,0.01183259636461626,-0.22449064769535884,0.2363232440599751
month_sin,-0.007781214236350182,0.14762692565075336,0.15540813988710353
total_generation_mw,-0.006530704803368895,0.12390198279725051,0.1304326876006194
