timestamp,hour,generation_profile_weight,total_generation_mw
2026-05-09 00:00:00,0,0.04122860375164698,196.5729527981951
2026-05-09 01:00:00,1,0.04125172773441525,196.68320512690832
2026-05-09 02:00:00,2,0.04082345338033745,194.64124525613656
2026-05-09 03:00:00,3,0.04122155905148758,196.5393645272885
2026-05-09 04:00:00,4,0.040753010758849774,194.30538343088313
2026-05-09 05:00:00,5,0.04090223116890134,195.01684814111897
2026-05-09 06:00:00,6,0.04123463346034719,196.60170171365323
2026-05-09 07:00:00,7,0.0420888368800725,200.6744394060863
2026-05-09 08:00:00,8,0.04162608403122023,198.46809027860624
2026-05-09 09:00:00,9,0.041634515321994664,198.50828964440126
2026-05-09 10:00:00,10,0.041879744922212844,199.67751446023033
2026-05-09 11:00:00,11,0.042201016703936896,201.2092991203332
2026-05-09 12:00:00,12,0.04227202566520476,201.5478611845651
2026-05-09 13:00:00,13,0.0420241965937376,200.36624240695642
2026-05-09 14:00:00,14,0.04157801618089364,198.2389086325268
2026-05-09 15:00:00,15,0.04208979492331587,200.6790072393894
2026-05-09 16:00:00,16,0.042162128718610914,201.02388595063314
2026-05-09 17:00:00,17,0.041827681331863875,199.42928161320447
2026-05-09 18:00:00,18,0.041942331254442015,199.97591845676646
2026-05-09 19:00:00,19,0.04199380694851676,200.22134828608017
2026-05-09 20:00:00,20,0.04217732189609949,201.09632516733103
2026-05-09 21:00:00,21,0.04166632674448915,198.65996262586143
2026-05-09 22:00:00,22,0.04183210260337175,199.4503616963589
2026-05-09 23:00:00,23,0.04158884997403146,198.29056283648515
